superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
SAARC,AFG,Afghanistan,0,0,0,1,56.848,125.67204,55.254902,4.7945161,27.82987,241.71983,21.22085,57.262226,446.57608,1981.6958,109.6104
SAARC,AFG,Afghanistan,0,0,0,2,71.390038,134.50021,61.336514,5.9836655,33.450615,272.22339,30.656887,59.189911,466.8306,2074.6418,151.18507
SAARC,AFG,Afghanistan,0,0,0,3,84.617943,150.32402,66.784363,6.8999438,39.085678,240.8797,38.076202,59.413559,494.31064,2151.8357,185.1003
SAARC,AFG,Afghanistan,0,0,0,999,64.112701,131.2926,58.279991,5.362886,30.718906,247.78156,25.754002,57.987648,458.10092,2026.9866,129.77364
SAARC,AFG,Afghanistan,0,0,1,1,66.886909,133.51782,59.84214,5.1448774,33.015602,194.64095,27.483545,58.575371,470.10281,1949.6378,130.91183
SAARC,AFG,Afghanistan,0,0,1,2,83.523499,141.42096,66.879921,6.2941236,39.846779,220.82651,39.818314,60.090179,493.49063,2012.5896,177.47481
SAARC,AFG,Afghanistan,0,0,1,3,99.855232,157.58113,71.84375,7.5189118,45.700184,194.97682,50.569832,60.967422,522.40662,2114.7319,221.24872
SAARC,AFG,Afghanistan,0,0,1,999,75.384117,138.85919,63.134663,5.7468619,36.372246,200.00877,33.572803,59.254364,482.97333,1988.0562,154.39343
SAARC,AFG,Afghanistan,0,0,999,1,59.230934,127.53439,56.343773,4.8776813,29.060808,230.54471,22.707426,57.573929,452.16058,1974.0862,114.66672
SAARC,AFG,Afghanistan,0,0,999,2,74.270157,136.14301,62.652355,6.0573592,34.968876,260.02332,32.831535,59.40361,473.15891,2059.9126,157.42548
SAARC,AFG,Afghanistan,0,0,999,3,88.234818,152.04665,67.985306,7.0468683,40.655762,229.98373,41.041817,59.782398,500.97977,2143.0283,193.68085
SAARC,AFG,Afghanistan,0,0,999,999,66.7882,133.0887,59.43235,5.4540305,32.060841,236.44176,27.609953,58.28833,464.00491,2017.7457,135.61765
SAARC,AFG,Afghanistan,0,1,0,1,64.47393,214.26537,92.070763,6.6656857,38.367985,153.58017,22.969685,70.36644,505.84863,2165.0266,80.262909
SAARC,AFG,Afghanistan,0,1,0,2,80.850403,227.98636,101.89017,8.3652115,45.993706,174.05608,32.711716,72.618729,529.41278,2250.658,110.24197
SAARC,AFG,Afghanistan,0,1,0,3,96.146408,254.52464,110.51833,9.6060934,53.611538,152.24355,40.276497,73.266426,565.42511,2346.9326,135.26477
SAARC,AFG,Afghanistan,0,1,0,999,72.717094,223.30301,96.929008,7.4673347,42.283333,157.52921,27.635065,71.274025,519.8844,2210.6597,94.89045
SAARC,AFG,Afghanistan,0,1,1,1,75.620186,222.62128,98.222076,7.1087551,45.976395,123.71096,29.687651,71.905632,533.12354,2114.9075,95.013939
SAARC,AFG,Afghanistan,0,1,1,2,94.714256,238.13388,111.26582,8.8425674,55.210743,138.98027,42.752785,74.184372,558.26697,2199.9761,129.98282
SAARC,AFG,Afghanistan,0,1,1,3,112.35381,266.24051,119.91183,10.299652,64.226746,122.81329,52.86211,74.761726,595.07855,2290.4775,159.80618
SAARC,AFG,Afghanistan,0,1,1,999,85.201019,232.5444,104.23838,7.9562654,50.685249,126.67123,35.938866,72.811768,547.84924,2159.4426,112.17486
SAARC,AFG,Afghanistan,0,1,999,1,67.11972,216.24883,93.530899,6.7708573,40.173996,146.49013,24.564329,70.731804,512.32288,2153.1299,83.764366
SAARC,AFG,Afghanistan,0,1,999,2,84.141266,230.39507,104.11567,8.4785213,48.181553,165.73013,35.095161,72.990364,536.2619,2238.6274,114.92785
SAARC,AFG,Afghanistan,0,1,999,3,99.993568,257.30566,112.74807,9.7707233,56.131271,145.25769,43.263947,73.621368,572.46399,2333.532,141.09016
SAARC,AFG,Afghanistan,0,1,999,999,75.680405,225.49664,98.66404,7.5833921,44.277695,150.20445,29.606138,71.639038,526.5224,2198.5024,98.993248
SAARC,AFG,Afghanistan,0,999,0,1,60.030167,162.64047,70.617516,5.5753222,32.227242,204.94069,21.950607,62.730385,471.30945,2058.1965,97.364197
SAARC,AFG,Afghanistan,0,999,0,2,75.337685,173.51035,78.25885,6.9774427,38.684628,231.25989,31.514332,64.793526,492.94504,2148.0903,134.10022
SAARC,AFG,Afghanistan,0,999,0,3,89.428574,193.80511,85.033783,8.0291729,45.147064,203.89337,38.994347,65.194122,523.98547,2233.2461,164.30481
SAARC,AFG,Afghanistan,0,999,0,999,67.703163,169.68694,74.407547,6.2410355,35.544537,210.12083,26.538935,63.531815,483.88205,2103.6301,115.21749
SAARC,AFG,Afghanistan,0,999,1,1,70.531151,170.69913,75.857407,5.9643688,38.423912,165.04309,28.403278,64.137856,496.40027,2018.6018,115.93227
SAARC,AFG,Afghanistan,0,999,1,2,88.193207,181.77756,85.401382,7.3575449,46.257893,186.67349,41.042816,65.971436,520.52063,2090.7827,157.65723
SAARC,AFG,Afghanistan,0,999,1,3,105.07068,202.92279,91.901726,8.6792669,53.431,164.86426,51.526363,66.723549,552.73138,2188.0676,195.60983
SAARC,AFG,Afghanistan,0,999,1,999,79.480537,177.95239,80.286522,6.6688075,42.34481,169.4063,34.56012,64.911629,510.04492,2059.5725,136.77637
SAARC,AFG,Afghanistan,0,999,999,1,62.522789,164.55338,71.861313,5.6676707,33.698147,195.4702,23.482279,63.06448,477.26529,2048.7981,101.77171
SAARC,AFG,Afghanistan,0,999,999,2,78.389191,175.47273,79.954269,7.0676675,40.482292,220.67641,33.776108,65.07312,499.49066,2134.4871,139.69196
SAARC,AFG,Afghanistan,0,999,999,3,93.141533,195.96938,86.664017,8.183485,47.113419,194.62903,41.969067,65.557159,530.80884,2222.522,171.73566
SAARC,AFG,Afghanistan,0,999,999,999,70.498764,171.64891,75.803047,6.342576,37.158722,200.45644,28.442926,63.859348,490.09238,2093.1724,120.33492
SAARC,AFG,Afghanistan,1,0,0,1,58.065865,124.81721,54.639736,4.7583995,29.259073,213.24969,21.577694,53.03669,449.23727,2007.1501,110.16872
SAARC,AFG,Afghanistan,1,0,0,2,72.587204,133.59923,59.152779,5.7789569,35.633072,236.8526,30.887573,54.616753,469.776,2111.8511,151.18558
